time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-02-04 09:30:00-05:00,MLTader,105bb14f182545f2af77f79e6cd74924,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-04 09:30:00-05:00,MLTader,105bb14f182545f2af77f79e6cd74924,SPY,buy,market,fill,1,gtc,0.0,1,stock,382.9599914550781,1.0,0.0
2021-02-05 09:30:00-05:00,MLTader,2ebb9cc4b2d7460ca0b597da2cad113f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-02-05 09:30:00-05:00,MLTader,691de6d24ffe4d829157f33b6700e18b,SPY,sell,limit,fill,1,day,0.0,1,stock,388.20001220703125,41.0,0.0
2021-02-05 09:30:00-05:00,MLTader,f56fab978b5c4bf8916a557472832299,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-02-05 09:30:00-05:00,MLTader,a9ec814a9a00437b9b1f9559c3da4d56,SPY,sell,limit,fill,1,day,0.0,1,stock,388.20001220703125,21.0,0.0
2021-02-08 09:30:00-05:00,MLTader,07ae23e7d9d44a1f8da0f386f7940bbd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-08 09:30:00-05:00,MLTader,07ae23e7d9d44a1f8da0f386f7940bbd,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.2699890136719,31.0,0.0
2021-02-09 09:30:00-05:00,MLTader,7b65767365234d46b46ba8007d334510,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-09 09:30:00-05:00,MLTader,7b65767365234d46b46ba8007d334510,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.6099853515625,15.0,0.0
2021-02-10 09:30:00-05:00,MLTader,9fd7e996335347afa433aa72ae2446f0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-10 09:30:00-05:00,MLTader,9fd7e996335347afa433aa72ae2446f0,SPY,buy,market,fill,1,gtc,0.0,1,stock,392.1199951171875,8.0,0.0
2021-02-11 09:30:00-05:00,MLTader,ea39c9497e1c405b88176ade8e85b71f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-11 09:30:00-05:00,MLTader,ea39c9497e1c405b88176ade8e85b71f,SPY,buy,market,fill,1,gtc,0.0,1,stock,391.239990234375,4.0,0.0
2021-02-12 09:30:00-05:00,MLTader,2427b82fe3bb49579fab2472f9a4510d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-12 09:30:00-05:00,MLTader,2427b82fe3bb49579fab2472f9a4510d,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.8500061035156,2.0,0.0
2021-02-16 09:30:00-05:00,MLTader,0a238e442fd94f0daec612a77514412d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-16 09:30:00-05:00,MLTader,0a238e442fd94f0daec612a77514412d,SPY,buy,market,fill,1,gtc,0.0,1,stock,393.9599914550781,1.0,0.0
2021-03-04 09:30:00-05:00,MLTader,dda3b13fd3004babbfd7a51dc5b471e8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-03-04 09:30:00-05:00,MLTader,e59c38687ee0493baca9f9157523b89d,SPY,sell,stop,fill,1,day,0.0,1,stock,372.5139953613281,8.0,0.0
2021-03-04 09:30:00-05:00,MLTader,dca53ab207524ef6afd206ed55d82090,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-03-04 09:30:00-05:00,MLTader,25e4a084c89144598d442895ee27edd6,SPY,sell,stop,fill,1,day,0.0,1,stock,374.2619918823242,1.0,0.0
2021-03-05 09:30:00-05:00,MLTader,68b603a80c344a45a885e0165b61b13d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-05 09:30:00-05:00,MLTader,68b603a80c344a45a885e0165b61b13d,SPY,buy,market,fill,1,gtc,0.0,1,stock,380.4599914550781,5.0,0.0
2021-03-08 09:30:00-05:00,MLTader,e3674ae1fc5e4427bb0f1e1f7b340484,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-08 09:30:00-05:00,MLTader,e3674ae1fc5e4427bb0f1e1f7b340484,SPY,buy,market,fill,1,gtc,0.0,1,stock,384.6600036621094,2.0,0.0
2021-03-09 09:30:00-05:00,MLTader,e3fe3576a1654c68acdf3fec8189a40e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-09 09:30:00-05:00,MLTader,e3fe3576a1654c68acdf3fec8189a40e,SPY,buy,market,fill,1,gtc,0.0,1,stock,385.8500061035156,1.0,0.0
2021-03-10 09:30:00-05:00,MLTader,98665486b4f5494e916e6d0dfbfe3bc9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-10 09:30:00-05:00,MLTader,98665486b4f5494e916e6d0dfbfe3bc9,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.69000244140625,1.0,0.0
2021-03-11 09:30:00-05:00,MLTader,b140c04e892e4173a7cf37c9f2504a55,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-11 09:30:00-05:00,MLTader,8cf886cf04984b4f96129115cd3593e7,SPY,sell,limit,fill,1,day,0.0,1,stock,394.2840087890625,10.0,0.0
2021-03-12 09:30:00-05:00,MLTader,a7619723a7fc449db68a0cc389fa9f92,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-12 09:30:00-05:00,MLTader,a7619723a7fc449db68a0cc389fa9f92,SPY,buy,market,fill,1,gtc,0.0,1,stock,392.07000732421875,5.0,0.0
2021-03-15 08:30:00-04:00,MLTader,fbd3adb6d1b24306940b37bc76b715bb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-15 08:30:00-04:00,MLTader,9e5e3ea2013b488991ab0b3357a075c3,SPY,sell,limit,fill,1,day,0.0,1,stock,397.0799926757812,5.0,0.0
2021-03-15 09:30:00-04:00,MLTader,cb353edd24094cc2a87ebfc973bffdb1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-15 09:30:00-04:00,MLTader,cb353edd24094cc2a87ebfc973bffdb1,SPY,buy,market,fill,1,gtc,0.0,1,stock,397.07000732421875,5.0,0.0
2021-03-16 09:30:00-04:00,MLTader,294e3db075b9421aa276a5b9e1910f03,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-16 09:30:00-04:00,MLTader,bc4e66d808934d798444c94fb737d34f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-16 09:30:00-04:00,MLTader,b17840e5e14545ba9ea40e9ef103db13,SPY,sell,limit,fill,1,day,0.0,1,stock,398.0400146484375,1.0,0.0
2021-03-16 09:30:00-04:00,MLTader,2d7eb7d2eb5e4659a2fd0a974f971cb6,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-16 09:30:00-04:00,MLTader,456ec6efa101480a9cc45cd89f2ffac9,SPY,sell,limit,fill,1,day,0.0,1,stock,398.0400146484375,1.0,0.0
2021-03-16 09:30:00-04:00,MLTader,294e3db075b9421aa276a5b9e1910f03,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.5299987792969,3.0,0.0
2021-03-17 09:30:00-04:00,MLTader,dc22881f537b4ba9b5371e52abbac45f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-17 09:30:00-04:00,MLTader,dc22881f537b4ba9b5371e52abbac45f,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.4800109863281,2.0,0.0
2021-03-18 09:30:00-04:00,MLTader,55a82e65318f43d1b16b646fd93c6fbb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-18 09:30:00-04:00,MLTader,55a82e65318f43d1b16b646fd93c6fbb,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.8800048828125,1.0,0.0
2021-03-19 09:30:00-04:00,MLTader,d10ae1a8deeb43a1adb5e50daa875cad,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-03-19 09:30:00-04:00,MLTader,d10ae1a8deeb43a1adb5e50daa875cad,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.8800048828125,1.0,0.0
2021-03-31 09:30:00-04:00,MLTader,2decc6b6f3434221938067ed11433001,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-31 09:30:00-04:00,MLTader,854c00821e3d4c5fbcbeb4150a6a1ec2,SPY,sell,limit,fill,1,day,0.0,1,stock,400.27199707031247,82.0,0.0
2021-03-31 09:30:00-04:00,MLTader,864505d6543a4d70bf8144b32f24329f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-31 09:30:00-04:00,MLTader,3980599ea3254642a889c210b3ec012b,SPY,sell,limit,fill,1,day,0.0,1,stock,399.70799560546874,5.0,0.0
2021-04-01 09:30:00-04:00,MLTader,c9a67072817e431cafd9cc582403c43f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-01 09:30:00-04:00,MLTader,c9a67072817e431cafd9cc582403c43f,SPY,buy,market,fill,1,gtc,0.0,1,stock,398.3999938964844,44.0,0.0
2021-04-05 08:30:00-04:00,MLTader,58ff3ac55a4440acbd501bc957956481,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-04-05 08:30:00-04:00,MLTader,1fca705e7ed94a41b7ce68715397f7dd,SPY,sell,limit,fill,1,day,0.0,1,stock,405.760009765625,41.0,0.0
2021-04-05 08:30:00-04:00,MLTader,3e098c9ffe1843f48babb01e27a6eb98,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-04-05 08:30:00-04:00,MLTader,2fd9391bbe7b46c18426e894d7e7f642,SPY,sell,limit,fill,1,day,0.0,1,stock,405.760009765625,20.0,0.0
2021-04-05 08:30:00-04:00,MLTader,7361593327f54a6c9045df105a0fc04d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-04-05 08:30:00-04:00,MLTader,dbb84aaca496464e957ad09d8cc79a74,SPY,sell,limit,fill,1,day,0.0,1,stock,405.760009765625,10.0,0.0
2021-04-05 08:30:00-04:00,MLTader,56151f0f7cdd42d28d2a6f1e2b651180,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-04-05 08:30:00-04:00,MLTader,e78857faf450416b9a6cf3547f3ff281,SPY,sell,limit,fill,1,day,0.0,1,stock,405.760009765625,3.0,0.0
2021-04-05 09:30:00-04:00,MLTader,a1ecac25007c4126bdd5e9db374fc1f0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-05 09:30:00-04:00,MLTader,a1ecac25007c4126bdd5e9db374fc1f0,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.760009765625,59.0,0.0
2021-04-06 09:30:00-04:00,MLTader,861dd100c9e044b0b5423a50dcc31bb2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-06 09:30:00-04:00,MLTader,861dd100c9e044b0b5423a50dcc31bb2,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.94000244140625,29.0,0.0
2021-04-07 09:30:00-04:00,MLTader,c838b2c2da124839a69e12f9fa29b305,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-07 09:30:00-04:00,MLTader,c838b2c2da124839a69e12f9fa29b305,SPY,buy,market,fill,1,gtc,0.0,1,stock,407.92999267578125,15.0,0.0
2021-04-08 09:30:00-04:00,MLTader,319b191ad009409e879ecef2645d38ea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
